Date,A,B
22-Apr-96,1106.9,391.0
23-Apr-96,1095.8,391.8
24-Apr-96,1145.1,390.8
25-Apr-96,1120.8,393.3
26-Apr-96,1123.6,391.9
29-Apr-96,1118.3,390.9
30-Apr-96,1114.3,391.3
1-May-96,1137.8,392.3
2-May-96,1132,392.4
3-May-96,1119.4,394.0
6-May-96,1088.2,394.0
7-May-96,1093,393.7
8-May-96,1108.5,394.8
9-May-96,1090.5,392.7
10-May-96,1078.6,393.2
13-May-96,1088.1,391.0
14-May-96,1105.4,390.7
15-May-96,1115.9,392.2
16-May-96,1128.5,391.9
17-May-96,1115.5,392.0
20-May-96,1083.6,390.9
21-May-96,1074.8,391.0
22-May-96,1081.1,390.8
23-May-96,1076.7,391.4
24-May-96,1085,390.9
27-May-96,1065.2,390.9
28-May-96,1063.3,392.0
29-May-96,1096.7,391.0
30-May-96,1082.8,391.3
31-May-96,1089.9,390.6
3-Jun-96,1108.8,390.7
4-Jun-96,1105.6,389.7
5-Jun-96,1113.1,387.7
6-Jun-96,1129.8,384.9
7-Jun-96,1133.4,386.6
10-Jun-96,1141.3,385.7
11-Jun-96,1143,384.9
12-Jun-96,1163.8,384.8
13-Jun-96,1168.4,384.7
14-Jun-96,1196,384.1
17-Jun-96,1185.3,385.0
18-Jun-96,1181.9,384.9
19-Jun-96,1168,386.3
20-Jun-96,1169.4,384.4
21-Jun-96,1157.4,383.2
24-Jun-96,1146.7,384.2
25-Jun-96,1127.7,385.1
26-Jun-96,1119.8,383.8
27-Jun-96,1127,383.0
28-Jun-96,1122,382.0
1-Jul-96,1109,381.6
2-Jul-96,1100,382.0
3-Jul-96,1080,382.0
4-Jul-96,1088,381.0
5-Jul-96,1093,381.5
8-Jul-96,1103.4,381.9
9-Jul-96,1088.7,382.9
10-Jul-96,1086.6,383.0
11-Jul-96,1097.4,382.7
12-Jul-96,1089.3,383.6
15-Jul-96,1093.3,382.8
16-Jul-96,1083.4,384.3
18-Jul-96,1118.6,383.4
19-Jul-96,1119.2,384.0
22-Jul-96,1125.6,384.5
23-Jul-96,1092.1,384.9
24-Jul-96,1069.4,385.1
25-Jul-96,1062.6,384.4
26-Jul-96,1051.2,384.8
29-Jul-96,1033.9,385.2
30-Jul-96,1014.9,384.5
31-Jul-96,1042.8,384.8
1-Aug-96,1036.6,385.3
2-Aug-96,1032.9,386.3
5-Aug-96,1032.2,386.4
6-Aug-96,1035.5,389.8
7-Aug-96,1048.5,388.5
8-Aug-96,1039.2,388.0
9-Aug-96,1037.9,387.6
12-Aug-96,1032.1,387.5
13-Aug-96,1024.4,387.2
14-Aug-96,1018.4,387.6
16-Aug-96,1002.2,386.7
19-Aug-96,975.66,386.2
20-Aug-96,977.34,386.2
21-Aug-96,999.19,386.4
22-Aug-96,1002.1,387.1
23-Aug-96,1012.7,386.8
26-Aug-96,1009,387.0
27-Aug-96,1014.6,387.0
28-Aug-96,1027,387.0
29-Aug-96,1025.8,388.8
30-Aug-96,1029,388.5
2-Sep-96,1036.9,388.0
3-Sep-96,1023.2,386.5
4-Sep-96,1026.4,386.6
5-Sep-96,1037.4,387.5
6-Sep-96,1032,385.6
9-Sep-96,1013.8,386.0
10-Sep-96,1001.1,385.4
11-Sep-96,991.34,384.6
12-Sep-96,989.28,383.1
13-Sep-96,980.72,383.5
16-Sep-96,962.27,382.1
17-Sep-96,971.21,382.8
18-Sep-96,994.43,382.8
19-Sep-96,977.76,383.5
20-Sep-96,977.03,383.0
23-Sep-96,968.84,382.8
24-Sep-96,968.91,381.8
25-Sep-96,971.29,381.0
26-Sep-96,959.31,382.3
27-Sep-96,947.23,382.4
30-Sep-96,943.96,380.5
1-Oct-96,936.27,380.7
3-Oct-96,924.92,379.0
4-Oct-96,904.12,378.7
7-Oct-96,874,380.3
8-Oct-96,873.9,378.9
9-Oct-96,874.72,380.7
10-Oct-96,898.42,380.1
11-Oct-96,908.79,380.9
14-Oct-96,892.05,381.4
15-Oct-96,897.77,381.8
16-Oct-96,892.77,380.8
17-Oct-96,892.07,380.9
18-Oct-96,895,381.0
22-Oct-96,919.09,381.5
23-Oct-96,951.29,380.6
24-Oct-96,932.77,380.0
25-Oct-96,936.95,381.0
28-Oct-96,935.89,383.4
29-Oct-96,926.39,383.5
30-Oct-96,929.03,383.0
31-Oct-96,909.29,382.6
1-Nov-96,906.68,382.9
4-Nov-96,890.13,381.7
5-Nov-96,881.57,379.7
6-Nov-96,866.57,379.5
7-Nov-96,874.89,377.6
